period,type,canton,group,value
2017Q2,estimate,TI,Médecins (ambulatoire) sans laboratoire,257.53
2017Q2,estimate,TI,Médicaments (médecin),18.57
2017Q2,estimate,TI,Pharmacies,180.65
2017Q2,estimate,TI,Physiothérapeutes,37.23
2017Q2,estimate,TI,SPITEX (soins à domicile),39.20
2017Q2,estimate,UR,Autres,24.25
2017Q2,estimate,UR,Etablissements médico-sociaux,57.23
2017Q2,estimate,UR,Hôpitaux (ambulatoire),171.26
2017Q2,estimate,UR,Hôpitaux (séjours),195.12
2017Q2,estimate,UR,Laboratoire cabinet médical,16.38
2017Q2,estimate,UR,Laboratoires,13.64
2017Q2,estimate,UR,Médecins (ambulatoire) sans laboratoire,132.15
2017Q2,estimate,UR,Médicaments (médecin),99.68
2017Q2,estimate,UR,Pharmacies,19.19
2017Q2,estimate,UR,Physiothérapeutes,20.47
2017Q2,estimate,UR,SPITEX (soins à domicile),14.48
2017Q2,estimate,VD,Autres,34.96
2017Q2,estimate,VD,Etablissements médico-sociaux,53.54
2017Q2,estimate,VD,Hôpitaux (ambulatoire),253.17
2017Q2,estimate,VD,Hôpitaux (séjours),177.88
2017Q2,estimate,VD,Laboratoire cabinet médical,11.52
2017Q2,estimate,VD,Laboratoires,30.85
2017Q2,estimate,VD,Médecins (ambulatoire) sans laboratoire,233.97
2017Q2,estimate,VD,Médicaments (médecin),13.15
2017Q2,estimate,VD,Pharmacies,172.20
2017Q2,estimate,VD,Physiothérapeutes,27.72
2017Q2,estimate,VD,SPITEX (soins à domicile),37.67
2017Q2,estimate,VS,Autres,34.46
2017Q2,estimate,VS,Etablissements médico-sociaux,52.47
2017Q2,estimate,VS,Hôpitaux (ambulatoire),144.19
2017Q2,estimate,VS,Hôpitaux (séjours),201.52
2017Q2,estimate,VS,Laboratoire cabinet médical,15.36
2017Q2,estimate,VS,Laboratoires,22.07
2017Q2,estimate,VS,Médecins (ambulatoire) sans laboratoire,187.31
2017Q2,estimate,VS,Médicaments (médecin),16.78
2017Q2,estimate,VS,Pharmacies,162.49
2017Q2,estimate,VS,Physiothérapeutes,26.57
2017Q2,estimate,VS,SPITEX (soins à domicile),15.42
2017Q2,estimate,ZG,Autres,24.11
2017Q2,estimate,ZG,Etablissements médico-sociaux,37.92
2017Q2,estimate,ZG,Hôpitaux (ambulatoire),144.52
2017Q2,estimate,ZG,Hôpitaux (séjours),162.62
2017Q2,estimate,ZG,Laboratoire cabinet médical,16.75
2017Q2,estimate,ZG,Laboratoires,30.07
2017Q2,estimate,ZG,Médecins (ambulatoire) sans laboratoire,187.94
2017Q2,estimate,ZG,Médicaments (médecin),82.26
2017Q2,estimate,ZG,Pharmacies,55.10
2017Q2,estimate,ZG,Physiothérapeutes,28.13
2017Q2,estimate,ZG,SPITEX (soins à domicile),12.58
2017Q2,estimate,ZH,Autres,29.20
2017Q2,estimate,ZH,Etablissements médico-sociaux,44.89
2017Q2,estimate,ZH,Hôpitaux (ambulatoire),147.94
2017Q2,estimate,ZH,Hôpitaux (séjours),193.64
2017Q2,estimate,ZH,Laboratoire cabinet médical,17.93
2017Q2,estimate,ZH,Laboratoires,24.97
2017Q2,estimate,ZH,Médecins (ambulatoire) sans laboratoire,239.08
2017Q2,estimate,ZH,Médicaments (médecin),79.89
2017Q2,estimate,ZH,Pharmacies,86.29
2017Q2,estimate,ZH,Physiothérapeutes,30.09
2017Q2,estimate,ZH,SPITEX (soins à domicile),21.07
2017Q2,estimate,CH,Autres,786.46
2017Q2,estimate,CH,Etablissements médico-sociaux,1403.24
2017Q2,estimate,CH,Hôpitaux (ambulatoire),4760.23
2017Q2,estimate,CH,Hôpitaux (séjours),5160.06
2017Q2,estimate,CH,Laboratoire cabinet médical,417.06
2017Q2,estimate,CH,Laboratoires,634.91
2017Q2,estimate,CH,Médecins (ambulatoire) sans laboratoire,4932.14
2017Q2,estimate,CH,Médicaments (médecin),1705.74
2017Q2,estimate,CH,Pharmacies,2483.20
2017Q2,estimate,CH,Physiothérapeutes,707.93
2017Q2,estimate,CH,SPITEX (soins à domicile),603.56
2017Q3,estimate,AG,Autres,30.37
2017Q3,estimate,AG,Etablissements médico-sociaux,37.21
2017Q3,estimate,AG,Hôpitaux (ambulatoire),180.40
2017Q3,estimate,AG,Hôpitaux (séjours),184.70
2017Q3,estimate,AG,Laboratoire cabinet médical,15.17
2017Q3,estimate,AG,Laboratoires,18.79
2017Q3,estimate,AG,Médecins (ambulatoire) sans laboratoire,167.03
2017Q3,estimate,AG,Médicaments (médecin),27.60
2017Q3,estimate,AG,Pharmacies,129.59
2017Q3,estimate,AG,Physiothérapeutes,25.96
2017Q3,estimate,AG,SPITEX (soins à domicile),17.41
2017Q3,estimate,AI,Autres,22.44
2017Q3,estimate,AI,Etablissements médico-sociaux,43.49
2017Q3,estimate,AI,Hôpitaux (ambulatoire),129.54
2017Q3,estimate,AI,Hôpitaux (séjours),141.21
2017Q3,estimate,AI,Laboratoire cabinet médical,14.75
2017Q3,estimate,AI,Laboratoires,12.90
2017Q3,estimate,AI,Médecins (ambulatoire) sans laboratoire,124.80
2017Q3,estimate,AI,Médicaments (médecin),91.25
2017Q3,estimate,AI,Pharmacies,21.22
2017Q3,estimate,AI,Physiothérapeutes,12.94
2017Q3,estimate,AI,SPITEX (soins à domicile),17.18
2017Q3,estimate,AR,Autres,26.21
2017Q3,estimate,AR,Etablissements médico-sociaux,58.36
2017Q3,estimate,AR,Hôpitaux (ambulatoire),171.66
2017Q3,estimate,AR,Hôpitaux (séjours),201.67
2017Q3,estimate,AR,Laboratoire cabinet médical,14.17
2017Q3,estimate,AR,Laboratoires,15.85
2017Q3,estimate,AR,Médecins (ambulatoire) sans laboratoire,151.02
2017Q3,estimate,AR,Médicaments (médecin),87.17
2017Q3,estimate,AR,Pharmacies,34.80
2017Q3,estimate,AR,Physiothérapeutes,20.79
2017Q3,estimate,AR,SPITEX (soins à domicile),14.51
2017Q3,estimate,BE,Autres,36.77
2017Q3,estimate,BE,Etablissements médico-sociaux,70.01
2017Q3,estimate,BE,Hôpitaux (ambulatoire),168.43
2017Q3,estimate,BE,Hôpitaux (séjours),196.02
2017Q3,estimate,BE,Laboratoire cabinet médical,17.27
2017Q3,estimate,BE,Laboratoires,23.48
2017Q3,estimate,BE,Médecins (ambulatoire) sans laboratoire,187.89
2017Q3,estimate,BE,Médicaments (médecin),70.38
2017Q3,estimate,BE,Pharmacies,101.97
2017Q3,estimate,BE,Physiothérapeutes,25.32
2017Q3,estimate,BE,SPITEX (soins à domicile),35.97
2017Q3,estimate,BL,Autres,34.60
2017Q3,estimate,BL,Etablissements médico-sociaux,42.45
2017Q3,estimate,BL,Hôpitaux (ambulatoire),187.14
2017Q3,estimate,BL,Hôpitaux (séjours),246.48
2017Q3,estimate,BL,Laboratoire cabinet médical,16.11
2017Q3,estimate,BL,Laboratoires,24.93
2017Q3,estimate,BL,Médecins (ambulatoire) sans laboratoire,223.38
2017Q3,estimate,BL,Médicaments (médecin),85.31
2017Q3,estimate,BL,Pharmacies,101.26
2017Q3,estimate,BL,Physiothérapeutes,34.92
2017Q3,estimate,BL,SPITEX (soins à domicile),23.96
2017Q3,estimate,BS,Autres,46.29
2017Q3,estimate,BS,Etablissements médico-sociaux,70.36
2017Q3,estimate,BS,Hôpitaux (ambulatoire),218.79
2017Q3,estimate,BS,Hôpitaux (séjours),281.51
2017Q3,estimate,BS,Laboratoire cabinet médical,14.42
2017Q3,estimate,BS,Laboratoires,26.33
2017Q3,estimate,BS,Médecins (ambulatoire) sans laboratoire,217.79
2017Q3,estimate,BS,Médicaments (médecin),26.14
2017Q3,estimate,BS,Pharmacies,180.83
2017Q3,estimate,BS,Physiothérapeutes,34.08
2017Q3,estimate,BS,SPITEX (soins à domicile),37.08
2017Q3,estimate,FR,Autres,35.69
2017Q3,estimate,FR,Etablissements médico-sociaux,52.57
2017Q3,estimate,FR,Hôpitaux (ambulatoire),169.12
2017Q3,estimate,FR,Hôpitaux (séjours),144.67
2017Q3,estimate,FR,Laboratoire cabinet médical,13.49
2017Q3,estimate,FR,Laboratoires,24.52
2017Q3,estimate,FR,Médecins (ambulatoire) sans laboratoire,182.96
2017Q3,estimate,FR,Médicaments (médecin),20.66
2017Q3,estimate,FR,Pharmacies,135.47
2017Q3,estimate,FR,Physiothérapeutes,21.17
2017Q3,estimate,FR,SPITEX (soins à domicile),19.37
2017Q3,estimate,GE,Autres,37.02
2017Q3,estimate,GE,Etablissements médico-sociaux,52.18
2017Q3,estimate,GE,Hôpitaux (ambulatoire),198.09
2017Q3,estimate,GE,Hôpitaux (séjours),200.86
2017Q3,estimate,GE,Laboratoire cabinet médical,9.61
2017Q3,estimate,GE,Laboratoires,45.29
2017Q3,estimate,GE,Médecins (ambulatoire) sans laboratoire,301.60
2017Q3,estimate,GE,Médicaments (médecin),15.25
2017Q3,estimate,GE,Pharmacies,170.90
2017Q3,estimate,GE,Physiothérapeutes,32.75
2017Q3,estimate,GE,SPITEX (soins à domicile),30.42
2017Q3,estimate,GL,Autres,25.42
2017Q3,estimate,GL,Etablissements médico-sociaux,56.67
2017Q3,estimate,GL,Hôpitaux (ambulatoire),171.37
2017Q3,estimate,GL,Hôpitaux (séjours),219.76
2017Q3,estimate,GL,Laboratoire cabinet médical,14.70
2017Q3,estimate,GL,Laboratoires,18.54
2017Q3,estimate,GL,Médecins (ambulatoire) sans laboratoire,142.04
2017Q3,estimate,GL,Médicaments (médecin),108.38
2017Q3,estimate,GL,Pharmacies,34.53
2017Q3,estimate,GL,Physiothérapeutes,29.93
2017Q3,estimate,GL,SPITEX (soins à domicile),15.23
2017Q3,estimate,GR,Autres,33.33
2017Q3,estimate,GR,Etablissements médico-sociaux,52.10
2017Q3,estimate,GR,Hôpitaux (ambulatoire),153.62
2017Q3,estimate,GR,Hôpitaux (séjours),179.15
2017Q3,estimate,GR,Laboratoire cabinet médical,15.14
2017Q3,estimate,GR,Laboratoires,21.26
2017Q3,estimate,GR,Médecins (ambulatoire) sans laboratoire,149.05
2017Q3,estimate,GR,Médicaments (médecin),53.23
2017Q3,estimate,GR,Pharmacies,103.73
2017Q3,estimate,GR,Physiothérapeutes,23.69
2017Q3,estimate,GR,SPITEX (soins à domicile),21.16
2017Q3,estimate,JU,Autres,35.67
2017Q3,estimate,JU,Etablissements médico-sociaux,73.02
2017Q3,estimate,JU,Hôpitaux (ambulatoire),190.74
2017Q3,estimate,JU,Hôpitaux (séjours),228.33
2017Q3,estimate,JU,Laboratoire cabinet médical,11.03
2017Q3,estimate,JU,Laboratoires,21.44
2017Q3,estimate,JU,Médecins (ambulatoire) sans laboratoire,174.52
2017Q3,estimate,JU,Médicaments (médecin),24.00
2017Q3,estimate,JU,Pharmacies,159.89
2017Q3,estimate,JU,Physiothérapeutes,19.48
2017Q3,estimate,JU,SPITEX (soins à domicile),41.07
2017Q3,estimate,LU,Autres,30.79
2017Q3,estimate,LU,Etablissements médico-sociaux,58.74
2017Q3,estimate,LU,Hôpitaux (ambulatoire),169.63
2017Q3,estimate,LU,Hôpitaux (séjours),172.97
2017Q3,estimate,LU,Laboratoire cabinet médical,14.70
2017Q3,estimate,LU,Laboratoires,20.49
2017Q3,estimate,LU,Médecins (ambulatoire) sans laboratoire,152.26
2017Q3,estimate,LU,Médicaments (médecin),100.32
2017Q3,estimate,LU,Pharmacies,39.74
2017Q3,estimate,LU,Physiothérapeutes,23.68
2017Q3,estimate,LU,SPITEX (soins à domicile),20.78
2017Q3,estimate,NE,Autres,45.53
2017Q3,estimate,NE,Etablissements médico-sociaux,84.42
2017Q3,estimate,NE,Hôpitaux (ambulatoire),199.73
2017Q3,estimate,NE,Hôpitaux (séjours),155.70
2017Q3,estimate,NE,Laboratoire cabinet médical,8.30
2017Q3,estimate,NE,Laboratoires,39.57
2017Q3,estimate,NE,Médecins (ambulatoire) sans laboratoire,180.73
2017Q3,estimate,NE,Médicaments (médecin),27.56
2017Q3,estimate,NE,Pharmacies,173.20
2017Q3,estimate,NE,Physiothérapeutes,24.26
2017Q3,estimate,NE,SPITEX (soins à domicile),33.62
2017Q3,estimate,NW,Autres,31.75
2017Q3,estimate,NW,Etablissements médico-sociaux,49.17
2017Q3,estimate,NW,Hôpitaux (ambulatoire),184.57
2017Q3,estimate,NW,Hôpitaux (séjours),179.21
2017Q3,estimate,NW,Laboratoire cabinet médical,13.41
2017Q3,estimate,NW,Laboratoires,19.72
2017Q3,estimate,NW,Médecins (ambulatoire) sans laboratoire,144.52
2017Q3,estimate,NW,Médicaments (médecin),94.77
2017Q3,estimate,NW,Pharmacies,39.20
2017Q3,estimate,NW,Physiothérapeutes,21.44
2017Q3,estimate,NW,SPITEX (soins à domicile),17.67
2017Q3,estimate,OW,Autres,29.54
2017Q3,estimate,OW,Etablissements médico-sociaux,46.77
2017Q3,estimate,OW,Hôpitaux (ambulatoire),195.79
2017Q3,estimate,OW,Hôpitaux (séjours),169.58
2017Q3,estimate,OW,Laboratoire cabinet médical,14.96
2017Q3,estimate,OW,Laboratoires,21.17
2017Q3,estimate,OW,Médecins (ambulatoire) sans laboratoire,133.25
2017Q3,estimate,OW,Médicaments (médecin),107.85
2017Q3,estimate,OW,Pharmacies,29.98
2017Q3,estimate,OW,Physiothérapeutes,25.73
2017Q3,estimate,OW,SPITEX (soins à domicile),15.70
2017Q3,estimate,SG,Autres,28.13
2017Q3,estimate,SG,Etablissements médico-sociaux,45.46
2017Q3,estimate,SG,Hôpitaux (ambulatoire),167.37
2017Q3,estimate,SG,Hôpitaux (séjours),194.55
2017Q3,estimate,SG,Laboratoire cabinet médical,15.24
2017Q3,estimate,SG,Laboratoires,17.47
2017Q3,estimate,SG,Médecins (ambulatoire) sans laboratoire,166.80
2017Q3,estimate,SG,Médicaments (médecin),105.48
2017Q3,estimate,SG,Pharmacies,39.29
2017Q3,estimate,SG,Physiothérapeutes,26.00
2017Q3,estimate,SG,SPITEX (soins à domicile),16.77
2017Q3,estimate,SH,Autres,33.57
2017Q3,estimate,SH,Etablissements médico-sociaux,54.68
2017Q3,estimate,SH,Hôpitaux (ambulatoire),177.86
2017Q3,estimate,SH,Hôpitaux (séjours),214.45
2017Q3,estimate,SH,Laboratoire cabinet médical,15.69
2017Q3,estimate,SH,Laboratoires,17.32
2017Q3,estimate,SH,Médecins (ambulatoire) sans laboratoire,161.29
2017Q3,estimate,SH,Médicaments (médecin),61.46
2017Q3,estimate,SH,Pharmacies,113.60
2017Q3,estimate,SH,Physiothérapeutes,30.93
2017Q3,estimate,SH,SPITEX (soins à domicile),21.44
2017Q3,estimate,SO,Autres,29.95
2017Q3,estimate,SO,Etablissements médico-sociaux,51.50
2017Q3,estimate,SO,Hôpitaux (ambulatoire),190.64
2017Q3,estimate,SO,Hôpitaux (séjours),190.77
2017Q3,estimate,SO,Laboratoire cabinet médical,16.49
2017Q3,estimate,SO,Laboratoires,21.44
2017Q3,estimate,SO,Médecins (ambulatoire) sans laboratoire,180.62
2017Q3,estimate,SO,Médicaments (médecin),93.70
2017Q3,estimate,SO,Pharmacies,79.93
2017Q3,estimate,SO,Physiothérapeutes,25.80
2017Q3,estimate,SO,SPITEX (soins à domicile),23.98
2017Q3,estimate,SZ,Autres,27.64
2017Q3,estimate,SZ,Etablissements médico-sociaux,41.98
2017Q3,estimate,SZ,Hôpitaux (ambulatoire),144.04
2017Q3,estimate,SZ,Hôpitaux (séjours),165.31
2017Q3,estimate,SZ,Laboratoire cabinet médical,19.59
2017Q3,estimate,SZ,Laboratoires,23.12
2017Q3,estimate,SZ,Médecins (ambulatoire) sans laboratoire,188.84
2017Q3,estimate,SZ,Médicaments (médecin),108.72
2017Q3,estimate,SZ,Pharmacies,34.84
2017Q3,estimate,SZ,Physiothérapeutes,25.27
2017Q3,estimate,SZ,SPITEX (soins à domicile),15.14
2017Q3,estimate,TG,Autres,28.42
2017Q3,estimate,TG,Etablissements médico-sociaux,43.51
2017Q3,estimate,TG,Hôpitaux (ambulatoire),164.85
2017Q3,estimate,TG,Hôpitaux (séjours),191.43
2017Q3,estimate,TG,Laboratoire cabinet médical,14.13
2017Q3,estimate,TG,Laboratoires,16.99
2017Q3,estimate,TG,Médecins (ambulatoire) sans laboratoire,151.16
2017Q3,estimate,TG,Médicaments (médecin),89.07
2017Q3,estimate,TG,Pharmacies,45.32
2017Q3,estimate,TG,Physiothérapeutes,30.87
2017Q3,estimate,TG,SPITEX (soins à domicile),20.57
2017Q3,estimate,TI,Autres,39.70
2017Q3,estimate,TI,Etablissements médico-sociaux,77.18
2017Q3,estimate,TI,Hôpitaux (ambulatoire),168.18
2017Q3,estimate,TI,Hôpitaux (séjours),190.50
2017Q3,estimate,TI,Laboratoire cabinet médical,17.54
2017Q3,estimate,TI,Laboratoires,29.36
2017Q3,estimate,TI,Médecins (ambulatoire) sans laboratoire,216.02
2017Q3,estimate,TI,Médicaments (médecin),19.76
2017Q3,estimate,TI,Pharmacies,175.70
2017Q3,estimate,TI,Physiothérapeutes,35.01
2017Q3,estimate,TI,SPITEX (soins à domicile),37.77
2017Q3,estimate,UR,Autres,23.44
2017Q3,estimate,UR,Etablissements médico-sociaux,56.90
2017Q3,estimate,UR,Hôpitaux (ambulatoire),158.41
2017Q3,estimate,UR,Hôpitaux (séjours),153.06
2017Q3,estimate,UR,Laboratoire cabinet médical,13.92
2017Q3,estimate,UR,Laboratoires,12.72
2017Q3,estimate,UR,Médecins (ambulatoire) sans laboratoire,115.00
2017Q3,estimate,UR,Médicaments (médecin),91.68
2017Q3,estimate,UR,Pharmacies,18.57
2017Q3,estimate,UR,Physiothérapeutes,17.33
2017Q3,estimate,UR,SPITEX (soins à domicile),14.60
2017Q3,estimate,VD,Autres,38.31
2017Q3,estimate,VD,Etablissements médico-sociaux,55.69
2017Q3,estimate,VD,Hôpitaux (ambulatoire),218.68
2017Q3,estimate,VD,Hôpitaux (séjours),178.11
2017Q3,estimate,VD,Laboratoire cabinet médical,11.31
2017Q3,estimate,VD,Laboratoires,29.67
2017Q3,estimate,VD,Médecins (ambulatoire) sans laboratoire,215.17
2017Q3,estimate,VD,Médicaments (médecin),13.66
2017Q3,estimate,VD,Pharmacies,162.42
2017Q3,estimate,VD,Physiothérapeutes,26.65
2017Q3,estimate,VD,SPITEX (soins à domicile),36.33
2017Q3,estimate,VS,Autres,35.01
2017Q3,estimate,VS,Etablissements médico-sociaux,51.73
2017Q3,estimate,VS,Hôpitaux (ambulatoire),214.76
2017Q3,estimate,VS,Hôpitaux (séjours),159.37
2017Q3,estimate,VS,Laboratoire cabinet médical,14.03
2017Q3,estimate,VS,Laboratoires,19.37
2017Q3,estimate,VS,Médecins (ambulatoire) sans laboratoire,172.06
2017Q3,estimate,VS,Médicaments (médecin),15.87
2017Q3,estimate,VS,Pharmacies,147.25
2017Q3,estimate,VS,Physiothérapeutes,24.16
2017Q3,estimate,VS,SPITEX (soins à domicile),16.98
2017Q3,estimate,ZG,Autres,25.44
2017Q3,estimate,ZG,Etablissements médico-sociaux,38.85
2017Q3,estimate,ZG,Hôpitaux (ambulatoire),142.31
2017Q3,estimate,ZG,Hôpitaux (séjours),161.73
2017Q3,estimate,ZG,Laboratoire cabinet médical,14.74
2017Q3,estimate,ZG,Laboratoires,28.73
2017Q3,estimate,ZG,Médecins (ambulatoire) sans laboratoire,175.05
2017Q3,estimate,ZG,Médicaments (médecin),82.80
2017Q3,estimate,ZG,Pharmacies,53.29
2017Q3,estimate,ZG,Physiothérapeutes,26.14
2017Q3,estimate,ZG,SPITEX (soins à domicile),13.27
2017Q3,estimate,ZH,Autres,29.07
2017Q3,estimate,ZH,Etablissements médico-sociaux,44.93
2017Q3,estimate,ZH,Hôpitaux (ambulatoire),162.21
2017Q3,estimate,ZH,Hôpitaux (séjours),183.06
2017Q3,estimate,ZH,Laboratoire cabinet médical,16.58
2017Q3,estimate,ZH,Laboratoires,24.98
2017Q3,estimate,ZH,Médecins (ambulatoire) sans laboratoire,232.21
2017Q3,estimate,ZH,Médicaments (médecin),81.11
2017Q3,estimate,ZH,Pharmacies,85.75
2017Q3,estimate,ZH,Physiothérapeutes,29.52
2017Q3,estimate,ZH,SPITEX (soins à domicile),21.51
2017Q3,estimate,CH,Autres,840.10
2017Q3,estimate,CH,Etablissements médico-sociaux,1409.93
2017Q3,estimate,CH,Hôpitaux (ambulatoire),4597.93
2017Q3,estimate,CH,Hôpitaux (séjours),4884.16
2017Q3,estimate,CH,Laboratoire cabinet médical,376.49
2017Q3,estimate,CH,Laboratoires,595.45
2017Q3,estimate,CH,Médecins (ambulatoire) sans laboratoire,4607.06
2017Q3,estimate,CH,Médicaments (médecin),1703.18
2017Q3,estimate,CH,Pharmacies,2412.27
2017Q3,estimate,CH,Physiothérapeutes,673.82
2017Q3,estimate,CH,SPITEX (soins à domicile),599.49
2017Q4,estimate,AG,Autres,27.10
2017Q4,estimate,AG,Etablissements médico-sociaux,38.95
2017Q4,estimate,AG,Hôpitaux (ambulatoire),206.10
2017Q4,estimate,AG,Hôpitaux (séjours),203.93
2017Q4,estimate,AG,Laboratoire cabinet médical,17.70
2017Q4,estimate,AG,Laboratoires,21.76
2017Q4,estimate,AG,Médecins (ambulatoire) sans laboratoire,190.28
2017Q4,estimate,AG,Médicaments (médecin),30.92
2017Q4,estimate,AG,Pharmacies,142.76
2017Q4,estimate,AG,Physiothérapeutes,30.03
2017Q4,estimate,AG,SPITEX (soins à domicile),18.51
2017Q4,estimate,AI,Autres,24.24
2017Q4,estimate,AI,Etablissements médico-sociaux,51.13
2017Q4,estimate,AI,Hôpitaux (ambulatoire),124.91
2017Q4,estimate,AI,Hôpitaux (séjours),155.28
2017Q4,estimate,AI,Laboratoire cabinet médical,17.37
2017Q4,estimate,AI,Laboratoires,14.11
2017Q4,estimate,AI,Médecins (ambulatoire) sans laboratoire,141.91
2017Q4,estimate,AI,Médicaments (médecin),94.27
2017Q4,estimate,AI,Pharmacies,30.96
2017Q4,estimate,AI,Physiothérapeutes,16.50
2017Q4,estimate,AI,SPITEX (soins à domicile),10.65
2017Q4,estimate,AR,Autres,28.75
2017Q4,estimate,AR,Etablissements médico-sociaux,65.17
2017Q4,estimate,AR,Hôpitaux (ambulatoire),163.17
2017Q4,estimate,AR,Hôpitaux (séjours),214.77
2017Q4,estimate,AR,Laboratoire cabinet médical,16.30
2017Q4,estimate,AR,Laboratoires,16.78
2017Q4,estimate,AR,Médecins (ambulatoire) sans laboratoire,179.17
2017Q4,estimate,AR,Médicaments (médecin),95.34
2017Q4,estimate,AR,Pharmacies,34.74
2017Q4,estimate,AR,Physiothérapeutes,23.56
2017Q4,estimate,AR,SPITEX (soins à domicile),14.05
2017Q4,estimate,BE,Autres,35.92
2017Q4,estimate,BE,Etablissements médico-sociaux,64.07
2017Q4,estimate,BE,Hôpitaux (ambulatoire),183.12
2017Q4,estimate,BE,Hôpitaux (séjours),241.96
2017Q4,estimate,BE,Laboratoire cabinet médical,18.88
2017Q4,estimate,BE,Laboratoires,25.43
2017Q4,estimate,BE,Médecins (ambulatoire) sans laboratoire,206.14
2017Q4,estimate,BE,Médicaments (médecin),73.02
2017Q4,estimate,BE,Pharmacies,110.13
2017Q4,estimate,BE,Physiothérapeutes,27.37
2017Q4,estimate,BE,SPITEX (soins à domicile),35.77
2017Q4,estimate,BL,Autres,40.82
2017Q4,estimate,BL,Etablissements médico-sociaux,43.95
2017Q4,estimate,BL,Hôpitaux (ambulatoire),192.70
2017Q4,estimate,BL,Hôpitaux (séjours),255.68
2017Q4,estimate,BL,Laboratoire cabinet médical,18.71
2017Q4,estimate,BL,Laboratoires,28.81
2017Q4,estimate,BL,Médecins (ambulatoire) sans laboratoire,252.97
2017Q4,estimate,BL,Médicaments (médecin),90.40
2017Q4,estimate,BL,Pharmacies,107.80
2017Q4,estimate,BL,Physiothérapeutes,38.92
2017Q4,estimate,BL,SPITEX (soins à domicile),24.39
2017Q4,estimate,BS,Autres,53.45
2017Q4,estimate,BS,Etablissements médico-sociaux,69.16
2017Q4,estimate,BS,Hôpitaux (ambulatoire),219.92
2017Q4,estimate,BS,Hôpitaux (séjours),297.42
2017Q4,estimate,BS,Laboratoire cabinet médical,16.41
2017Q4,estimate,BS,Laboratoires,30.02
2017Q4,estimate,BS,Médecins (ambulatoire) sans laboratoire,242.78
2017Q4,estimate,BS,Médicaments (médecin),27.10
2017Q4,estimate,BS,Pharmacies,192.37
2017Q4,estimate,BS,Physiothérapeutes,39.86
2017Q4,estimate,BS,SPITEX (soins à domicile),36.45
2017Q4,estimate,FR,Autres,36.46
2017Q4,estimate,FR,Etablissements médico-sociaux,54.69
2017Q4,estimate,FR,Hôpitaux (ambulatoire),182.53
2017Q4,estimate,FR,Hôpitaux (séjours),152.21
2017Q4,estimate,FR,Laboratoire cabinet médical,15.48
2017Q4,estimate,FR,Laboratoires,28.13
2017Q4,estimate,FR,Médecins (ambulatoire) sans laboratoire,208.35
2017Q4,estimate,FR,Médicaments (médecin),22.46
2017Q4,estimate,FR,Pharmacies,140.45
2017Q4,estimate,FR,Physiothérapeutes,24.40
2017Q4,estimate,FR,SPITEX (soins à domicile),20.29
2017Q4,estimate,GE,Autres,37.36
2017Q4,estimate,GE,Etablissements médico-sociaux,60.17
2017Q4,estimate,GE,Hôpitaux (ambulatoire),209.66
2017Q4,estimate,GE,Hôpitaux (séjours),218.43
2017Q4,estimate,GE,Laboratoire cabinet médical,12.16
2017Q4,estimate,GE,Laboratoires,55.28
2017Q4,estimate,GE,Médecins (ambulatoire) sans laboratoire,367.39
2017Q4,estimate,GE,Médicaments (médecin),19.26
2017Q4,estimate,GE,Pharmacies,191.17
2017Q4,estimate,GE,Physiothérapeutes,39.02
2017Q4,estimate,GE,SPITEX (soins à domicile),32.55
2017Q4,estimate,GL,Autres,29.29
2017Q4,estimate,GL,Etablissements médico-sociaux,57.02
2017Q4,estimate,GL,Hôpitaux (ambulatoire),186.75
2017Q4,estimate,GL,Hôpitaux (séjours),167.60
2017Q4,estimate,GL,Laboratoire cabinet médical,17.62
2017Q4,estimate,GL,Laboratoires,21.10
2017Q4,estimate,GL,Médecins (ambulatoire) sans laboratoire,163.38
2017Q4,estimate,GL,Médicaments (médecin),122.57
2017Q4,estimate,GL,Pharmacies,39.15
2017Q4,estimate,GL,Physiothérapeutes,34.83
2017Q4,estimate,GL,SPITEX (soins à domicile),17.52
2017Q4,estimate,GR,Autres,29.35
2017Q4,estimate,GR,Etablissements médico-sociaux,52.51
2017Q4,estimate,GR,Hôpitaux (ambulatoire),173.28
2017Q4,estimate,GR,Hôpitaux (séjours),185.20
2017Q4,estimate,GR,Laboratoire cabinet médical,17.40
2017Q4,estimate,GR,Laboratoires,24.58
2017Q4,estimate,GR,Médecins (ambulatoire) sans laboratoire,170.33
2017Q4,estimate,GR,Médicaments (médecin),57.18
2017Q4,estimate,GR,Pharmacies,108.20
2017Q4,estimate,GR,Physiothérapeutes,27.21
2017Q4,estimate,GR,SPITEX (soins à domicile),20.98
2017Q4,estimate,JU,Autres,32.62
2017Q4,estimate,JU,Etablissements médico-sociaux,71.57
2017Q4,estimate,JU,Hôpitaux (ambulatoire),203.92
2017Q4,estimate,JU,Hôpitaux (séjours),230.65
2017Q4,estimate,JU,Laboratoire cabinet médical,12.47
2017Q4,estimate,JU,Laboratoires,25.03
2017Q4,estimate,JU,Médecins (ambulatoire) sans laboratoire,191.47
2017Q4,estimate,JU,Médicaments (médecin),24.64
2017Q4,estimate,JU,Pharmacies,170.34
2017Q4,estimate,JU,Physiothérapeutes,23.40
2017Q4,estimate,JU,SPITEX (soins à domicile),46.19
2017Q4,estimate,LU,Autres,31.46
2017Q4,estimate,LU,Etablissements médico-sociaux,58.92
2017Q4,estimate,LU,Hôpitaux (ambulatoire),179.42
