Period,Canton,Cost_Group,Value,Type
2018Q1,NE,Etablissements médico-sociaux,86.66,Historical
2018Q1,NE,Hôpitaux (ambulatoire),215.05,Historical
2018Q1,NE,Hôpitaux (séjours),204.85,Historical
2018Q1,NE,Laboratoire cabinet médical,10.94,Historical
2018Q1,NE,Laboratoires,44.77,Historical
2018Q1,NE,Médecins (ambulatoire) sans laboratoire,224.53,Historical
2018Q1,NE,Médicaments (médecin),27.73,Historical
2018Q1,NE,Pharmacies,193.23,Historical
2018Q1,NE,Physiothérapeutes,27.42,Historical
2018Q1,NE,SPITEX (soins à domicile),36.77,Historical
2018Q1,NE,Total,1123.30,Historical
2018Q1,NW,Autres,31.38,Historical
2018Q1,NW,Etablissements médico-sociaux,50.27,Historical
2018Q1,NW,Hôpitaux (ambulatoire),153.68,Historical
2018Q1,NW,Hôpitaux (séjours),165.53,Historical
2018Q1,NW,Laboratoire cabinet médical,15.76,Historical
2018Q1,NW,Laboratoires,22.06,Historical
2018Q1,NW,Médecins (ambulatoire) sans laboratoire,151.77,Historical
2018Q1,NW,Médicaments (médecin),102.40,Historical
2018Q1,NW,Pharmacies,41.87,Historical
2018Q1,NW,Physiothérapeutes,22.99,Historical
2018Q1,NW,SPITEX (soins à domicile),22.65,Historical
2018Q1,NW,Total,780.34,Historical
2018Q1,OW,Autres,31.31,Historical
2018Q1,OW,Etablissements médico-sociaux,48.80,Historical
2018Q1,OW,Hôpitaux (ambulatoire),166.63,Historical
2018Q1,OW,Hôpitaux (séjours),146.95,Historical
2018Q1,OW,Laboratoire cabinet médical,17.47,Historical
2018Q1,OW,Laboratoires,24.40,Historical
2018Q1,OW,Médecins (ambulatoire) sans laboratoire,143.43,Historical
2018Q1,OW,Médicaments (médecin),111.96,Historical
2018Q1,OW,Pharmacies,34.88,Historical
2018Q1,OW,Physiothérapeutes,30.06,Historical
2018Q1,OW,SPITEX (soins à domicile),19.18,Historical
2018Q1,OW,Total,775.09,Historical
2018Q1,SG,Autres,30.28,Historical
2018Q1,SG,Etablissements médico-sociaux,47.38,Historical
2018Q1,SG,Hôpitaux (ambulatoire),134.55,Historical
2018Q1,SG,Hôpitaux (séjours),190.17,Historical
2018Q1,SG,Laboratoire cabinet médical,17.53,Historical
2018Q1,SG,Laboratoires,20.24,Historical
2018Q1,SG,Médecins (ambulatoire) sans laboratoire,178.97,Historical
2018Q1,SG,Médicaments (médecin),106.01,Historical
2018Q1,SG,Pharmacies,44.55,Historical
2018Q1,SG,Physiothérapeutes,30.12,Historical
2018Q1,SG,SPITEX (soins à domicile),19.29,Historical
2018Q1,SG,Total,819.09,Historical
2018Q1,SH,Autres,32.25,Historical
2018Q1,SH,Etablissements médico-sociaux,56.06,Historical
2018Q1,SH,Hôpitaux (ambulatoire),150.16,Historical
2018Q1,SH,Hôpitaux (séjours),199.85,Historical
2018Q1,SH,Laboratoire cabinet médical,19.17,Historical
2018Q1,SH,Laboratoires,20.13,Historical
2018Q1,SH,Médecins (ambulatoire) sans laboratoire,176.66,Historical
2018Q1,SH,Médicaments (médecin),68.49,Historical
2018Q1,SH,Pharmacies,119.11,Historical
2018Q1,SH,Physiothérapeutes,34.30,Historical
2018Q1,SH,SPITEX (soins à domicile),22.62,Historical
2018Q1,SH,Total,898.78,Historical
2018Q1,SO,Autres,34.70,Historical
2018Q1,SO,Etablissements médico-sociaux,54.53,Historical
2018Q1,SO,Hôpitaux (ambulatoire),202.90,Historical
2018Q1,SO,Hôpitaux (séjours),200.82,Historical
2018Q1,SO,Laboratoire cabinet médical,18.75,Historical
2018Q1,SO,Laboratoires,24.39,Historical
2018Q1,SO,Médecins (ambulatoire) sans laboratoire,194.34,Historical
2018Q1,SO,Médicaments (médecin),98.33,Historical
2018Q1,SO,Pharmacies,84.29,Historical
2018Q1,SO,Physiothérapeutes,29.82,Historical
2018Q1,SO,SPITEX (soins à domicile),25.96,Historical
2018Q1,SO,Total,968.83,Historical
2018Q1,SZ,Autres,29.75,Historical
2018Q1,SZ,Etablissements médico-sociaux,47.70,Historical
2018Q1,SZ,Hôpitaux (ambulatoire),129.92,Historical
2018Q1,SZ,Hôpitaux (séjours),168.95,Historical
2018Q1,SZ,Laboratoire cabinet médical,21.41,Historical
2018Q1,SZ,Laboratoires,27.76,Historical
2018Q1,SZ,Médecins (ambulatoire) sans laboratoire,199.46,Historical
2018Q1,SZ,Médicaments (médecin),108.97,Historical
2018Q1,SZ,Pharmacies,39.78,Historical
2018Q1,SZ,Physiothérapeutes,29.47,Historical
2018Q1,SZ,SPITEX (soins à domicile),17.59,Historical
2018Q1,SZ,Total,820.76,Historical
2018Q1,TG,Autres,29.57,Historical
2018Q1,TG,Etablissements médico-sociaux,46.91,Historical
2018Q1,TG,Hôpitaux (ambulatoire),156.69,Historical
2018Q1,TG,Hôpitaux (séjours),191.74,Historical
2018Q1,TG,Laboratoire cabinet médical,16.07,Historical
2018Q1,TG,Laboratoires,19.50,Historical
2018Q1,TG,Médecins (ambulatoire) sans laboratoire,164.81,Historical
2018Q1,TG,Médicaments (médecin),92.37,Historical
2018Q1,TG,Pharmacies,51.70,Historical
2018Q1,TG,Physiothérapeutes,33.22,Historical
2018Q1,TG,SPITEX (soins à domicile),22.53,Historical
2018Q1,TG,Total,825.10,Historical
2018Q1,TI,Autres,44.38,Historical
2018Q1,TI,Etablissements médico-sociaux,78.68,Historical
2018Q1,TI,Hôpitaux (ambulatoire),102.94,Historical
2018Q1,TI,Hôpitaux (séjours),215.43,Historical
2018Q1,TI,Laboratoire cabinet médical,21.37,Historical
2018Q1,TI,Laboratoires,35.81,Historical
2018Q1,TI,Médecins (ambulatoire) sans laboratoire,245.30,Historical
2018Q1,TI,Médicaments (médecin),21.81,Historical
2018Q1,TI,Pharmacies,200.64,Historical
2018Q1,TI,Physiothérapeutes,42.74,Historical
2018Q1,TI,SPITEX (soins à domicile),41.62,Historical
2018Q1,TI,Total,1050.73,Historical
2018Q1,UR,Autres,24.16,Historical
2018Q1,UR,Etablissements médico-sociaux,59.53,Historical
2018Q1,UR,Hôpitaux (ambulatoire),162.31,Historical
2018Q1,UR,Hôpitaux (séjours),154.91,Historical
2018Q1,UR,Laboratoire cabinet médical,16.56,Historical
2018Q1,UR,Laboratoires,13.98,Historical
2018Q1,UR,Médecins (ambulatoire) sans laboratoire,127.47,Historical
2018Q1,UR,Médicaments (médecin),94.78,Historical
2018Q1,UR,Pharmacies,19.45,Historical
2018Q1,UR,Physiothérapeutes,18.89,Historical
2018Q1,UR,SPITEX (soins à domicile),15.94,Historical
2018Q1,UR,Total,707.98,Historical
2018Q1,VD,Autres,40.06,Historical
2018Q1,VD,Etablissements médico-sociaux,53.55,Historical
2018Q1,VD,Hôpitaux (ambulatoire),203.37,Historical
2018Q1,VD,Hôpitaux (séjours),186.26,Historical
2018Q1,VD,Laboratoire cabinet médical,14.51,Historical
2018Q1,VD,Laboratoires,31.93,Historical
2018Q1,VD,Médecins (ambulatoire) sans laboratoire,251.73,Historical
2018Q1,VD,Médicaments (médecin),14.31,Historical
2018Q1,VD,Pharmacies,182.38,Historical
2018Q1,VD,Physiothérapeutes,30.05,Historical
2018Q1,VD,SPITEX (soins à domicile),41.16,Historical
2018Q1,VD,Total,1049.31,Historical
2018Q1,VS,Autres,38.49,Historical
2018Q1,VS,Etablissements médico-sociaux,62.23,Historical
2018Q1,VS,Hôpitaux (ambulatoire),183.02,Historical
2018Q1,VS,Hôpitaux (séjours),188.57,Historical
2018Q1,VS,Laboratoire cabinet médical,18.01,Historical
2018Q1,VS,Laboratoires,22.80,Historical
2018Q1,VS,Médecins (ambulatoire) sans laboratoire,205.25,Historical
2018Q1,VS,Médicaments (médecin),19.13,Historical
2018Q1,VS,Pharmacies,172.00,Historical
2018Q1,VS,Physiothérapeutes,30.05,Historical
2018Q1,VS,SPITEX (soins à domicile),19.55,Historical
2018Q1,VS,Total,959.11,Historical
2018Q1,ZG,Autres,28.27,Historical
2018Q1,ZG,Etablissements médico-sociaux,42.71,Historical
2018Q1,ZG,Hôpitaux (ambulatoire),113.83,Historical
2018Q1,ZG,Hôpitaux (séjours),145.89,Historical
2018Q1,ZG,Laboratoire cabinet médical,17.22,Historical
2018Q1,ZG,Laboratoires,33.16,Historical
2018Q1,ZG,Médecins (ambulatoire) sans laboratoire,196.85,Historical
2018Q1,ZG,Médicaments (médecin),88.22,Historical
2018Q1,ZG,Pharmacies,61.62,Historical
2018Q1,ZG,Physiothérapeutes,30.89,Historical
2018Q1,ZG,SPITEX (soins à domicile),14.50,Historical
2018Q1,ZG,Total,773.17,Historical
2018Q1,ZH,Autres,30.57,Historical
2018Q1,ZH,Etablissements médico-sociaux,47.09,Historical
2018Q1,ZH,Hôpitaux (ambulatoire),156.77,Historical
2018Q1,ZH,Hôpitaux (séjours),171.59,Historical
2018Q1,ZH,Laboratoire cabinet médical,19.10,Historical
2018Q1,ZH,Laboratoires,27.40,Historical
2018Q1,ZH,Médecins (ambulatoire) sans laboratoire,246.77,Historical
2018Q1,ZH,Médicaments (médecin),84.54,Historical
2018Q1,ZH,Pharmacies,93.88,Historical
2018Q1,ZH,Physiothérapeutes,33.14,Historical
2018Q1,ZH,SPITEX (soins à domicile),24.14,Historical
2018Q1,ZH,Total,934.99,Historical
2018Q2,AG,Autres,28.50,Historical
2018Q2,AG,Etablissements médico-sociaux,36.67,Historical
2018Q2,AG,Hôpitaux (ambulatoire),191.17,Historical
2018Q2,AG,Hôpitaux (séjours),179.80,Historical
2018Q2,AG,Laboratoire cabinet médical,17.44,Historical
2018Q2,AG,Laboratoires,21.05,Historical
2018Q2,AG,Médecins (ambulatoire) sans laboratoire,178.84,Historical
2018Q2,AG,Médicaments (médecin),29.35,Historical
2018Q2,AG,Pharmacies,138.74,Historical
2018Q2,AG,Physiothérapeutes,29.44,Historical
2018Q2,AG,SPITEX (soins à domicile),18.67,Historical
2018Q2,AG,Total,869.69,Historical
2018Q2,AI,Autres,25.14,Historical
2018Q2,AI,Etablissements médico-sociaux,44.23,Historical
2018Q2,AI,Hôpitaux (ambulatoire),113.03,Historical
2018Q2,AI,Hôpitaux (séjours),190.17,Historical
2018Q2,AI,Laboratoire cabinet médical,16.64,Historical
2018Q2,AI,Laboratoires,14.39,Historical
2018Q2,AI,Médecins (ambulatoire) sans laboratoire,127.76,Historical
2018Q2,AI,Médicaments (médecin),89.12,Historical
2018Q2,AI,Pharmacies,27.48,Historical
2018Q2,AI,Physiothérapeutes,13.59,Historical
2018Q2,AI,SPITEX (soins à domicile),16.69,Historical
2018Q2,AI,Total,678.22,Historical
2018Q2,AR,Autres,28.28,Historical
2018Q2,AR,Etablissements médico-sociaux,55.10,Historical
2018Q2,AR,Hôpitaux (ambulatoire),132.57,Historical
2018Q2,AR,Hôpitaux (séjours),195.07,Historical
2018Q2,AR,Laboratoire cabinet médical,17.29,Historical
2018Q2,AR,Laboratoires,17.16,Historical
2018Q2,AR,Médecins (ambulatoire) sans laboratoire,169.56,Historical
2018Q2,AR,Médicaments (médecin),94.49,Historical
2018Q2,AR,Pharmacies,38.56,Historical
2018Q2,AR,Physiothérapeutes,21.65,Historical
2018Q2,AR,SPITEX (soins à domicile),16.70,Historical
2018Q2,AR,Total,786.45,Historical
2018Q2,BE,Autres,37.19,Historical
2018Q2,BE,Etablissements médico-sociaux,67.16,Historical
2018Q2,BE,Hôpitaux (ambulatoire),188.67,Historical
2018Q2,BE,Hôpitaux (séjours),196.41,Historical
2018Q2,BE,Laboratoire cabinet médical,19.83,Historical
2018Q2,BE,Laboratoires,25.10,Historical
2018Q2,BE,Médecins (ambulatoire) sans laboratoire,200.26,Historical
2018Q2,BE,Médicaments (médecin),74.39,Historical
2018Q2,BE,Pharmacies,108.09,Historical
2018Q2,BE,Physiothérapeutes,26.57,Historical
2018Q2,BE,SPITEX (soins à domicile),38.26,Historical
2018Q2,BE,Total,981.95,Historical
2018Q2,BL,Autres,32.28,Historical
2018Q2,BL,Etablissements médico-sociaux,42.39,Historical
2018Q2,BL,Hôpitaux (ambulatoire),202.29,Historical
2018Q2,BL,Hôpitaux (séjours),234.97,Historical
2018Q2,BL,Laboratoire cabinet médical,19.30,Historical
2018Q2,BL,Laboratoires,28.19,Historical
2018Q2,BL,Médecins (ambulatoire) sans laboratoire,238.77,Historical
2018Q2,BL,Médicaments (médecin),86.56,Historical
2018Q2,BL,Pharmacies,104.92,Historical
2018Q2,BL,Physiothérapeutes,39.07,Historical
2018Q2,BL,SPITEX (soins à domicile),27.03,Historical
2018Q2,BL,Total,1055.78,Historical
2018Q2,BS,Autres,32.37,Historical
2018Q2,BS,Etablissements médico-sociaux,69.34,Historical
2018Q2,BS,Hôpitaux (ambulatoire),251.04,Historical
2018Q2,BS,Hôpitaux (séjours),281.22,Historical
2018Q2,BS,Laboratoire cabinet médical,17.33,Historical
2018Q2,BS,Laboratoires,30.67,Historical
2018Q2,BS,Médecins (ambulatoire) sans laboratoire,246.82,Historical
2018Q2,BS,Médicaments (médecin),28.02,Historical
2018Q2,BS,Pharmacies,197.54,Historical
2018Q2,BS,Physiothérapeutes,40.53,Historical
2018Q2,BS,SPITEX (soins à domicile),39.84,Historical
2018Q2,BS,Total,1234.71,Historical
2018Q2,CH,Autres,32.33,Historical
2018Q2,CH,Etablissements médico-sociaux,53.05,Historical
2018Q2,CH,Hôpitaux (ambulatoire),177.59,Historical
2018Q2,CH,Hôpitaux (séjours),179.73,Historical
2018Q2,CH,Laboratoire cabinet médical,17.36,Historical
2018Q2,CH,Laboratoires,27.44,Historical
2018Q2,CH,Médecins (ambulatoire) sans laboratoire,214.03,Historical
2018Q2,CH,Médicaments (médecin),60.88,Historical
2018Q2,CH,Pharmacies,114.20,Historical
2018Q2,CH,Physiothérapeutes,30.49,Historical
2018Q2,CH,SPITEX (soins à domicile),27.12,Historical
2018Q2,CH,Total,934.22,Historical
2018Q2,FR,Autres,36.34,Historical
2018Q2,FR,Etablissements médico-sociaux,52.95,Historical
2018Q2,FR,Hôpitaux (ambulatoire),188.49,Historical
2018Q2,FR,Hôpitaux (séjours),140.29,Historical
2018Q2,FR,Laboratoire cabinet médical,16.17,Historical
2018Q2,FR,Laboratoires,27.85,Historical
2018Q2,FR,Médecins (ambulatoire) sans laboratoire,204.27,Historical
2018Q2,FR,Médicaments (médecin),22.66,Historical
2018Q2,FR,Pharmacies,143.21,Historical
2018Q2,FR,Physiothérapeutes,24.28,Historical
2018Q2,FR,SPITEX (soins à domicile),20.82,Historical
2018Q2,FR,Total,877.32,Historical
2018Q2,GE,Autres,33.74,Historical
2018Q2,GE,Etablissements médico-sociaux,60.49,Historical
2018Q2,GE,Hôpitaux (ambulatoire),228.82,Historical
2018Q2,GE,Hôpitaux (séjours),190.97,Historical
2018Q2,GE,Laboratoire cabinet médical,11.54,Historical
2018Q2,GE,Laboratoires,50.78,Historical
2018Q2,GE,Médecins (ambulatoire) sans laboratoire,348.60,Historical
2018Q2,GE,Médicaments (médecin),17.52,Historical
2018Q2,GE,Pharmacies,190.65,Historical
2018Q2,GE,Physiothérapeutes,39.47,Historical
2018Q2,GE,SPITEX (soins à domicile),31.73,Historical
2018Q2,GE,Total,1204.31,Historical
2018Q2,GL,Autres,29.56,Historical
2018Q2,GL,Etablissements médico-sociaux,55.15,Historical
2018Q2,GL,Hôpitaux (ambulatoire),160.49,Historical
2018Q2,GL,Hôpitaux (séjours),190.82,Historical
2018Q2,GL,Laboratoire cabinet médical,17.62,Historical
2018Q2,GL,Laboratoires,21.24,Historical
2018Q2,GL,Médecins (ambulatoire) sans laboratoire,150.53,Historical
2018Q2,GL,Médicaments (médecin),110.19,Historical
2018Q2,GL,Pharmacies,37.83,Historical
2018Q2,GL,Physiothérapeutes,33.28,Historical
2018Q2,GL,SPITEX (soins à domicile),17.16,Historical
2018Q2,GL,Total,823.88,Historical
2018Q2,GR,Autres,28.66,Historical
2018Q2,GR,Etablissements médico-sociaux,51.00,Historical
2018Q2,GR,Hôpitaux (ambulatoire),167.24,Historical
2018Q2,GR,Hôpitaux (séjours),178.84,Historical
2018Q2,GR,Laboratoire cabinet médical,18.10,Historical
2018Q2,GR,Laboratoires,24.33,Historical
2018Q2,GR,Médecins (ambulatoire) sans laboratoire,163.25,Historical
2018Q2,GR,Médicaments (médecin),56.60,Historical
2018Q2,GR,Pharmacies,108.94,Historical
2018Q2,GR,Physiothérapeutes,27.02,Historical
2018Q2,GR,SPITEX (soins à domicile),22.60,Historical
2018Q2,GR,Total,846.57,Historical
2018Q2,JU,Autres,32.66,Historical
2018Q2,JU,Etablissements médico-sociaux,69.18,Historical
2018Q2,JU,Hôpitaux (ambulatoire),198.53,Historical
2018Q2,JU,Hôpitaux (séjours),217.76,Historical
2018Q2,JU,Laboratoire cabinet médical,12.12,Historical
2018Q2,JU,Laboratoires,22.99,Historical
2018Q2,JU,Médecins (ambulatoire) sans laboratoire,180.79,Historical
2018Q2,JU,Médicaments (médecin),22.13,Historical
2018Q2,JU,Pharmacies,168.71,Historical
2018Q2,JU,Physiothérapeutes,22.99,Historical
2018Q2,JU,SPITEX (soins à domicile),44.33,Historical
2018Q2,JU,Total,992.19,Historical
2018Q2,LU,Autres,30.05,Historical
2018Q2,LU,Etablissements médico-sociaux,53.59,Historical
2018Q2,LU,Hôpitaux (ambulatoire),90.86,Historical
2018Q2,LU,Hôpitaux (séjours),119.46,Historical
2018Q2,LU,Laboratoire cabinet médical,16.95,Historical
2018Q2,LU,Laboratoires,22.17,Historical
2018Q2,LU,Médecins (ambulatoire) sans laboratoire,163.21,Historical
2018Q2,LU,Médicaments (médecin),99.82,Historical
2018Q2,LU,Pharmacies,40.87,Historical
2018Q2,LU,Physiothérapeutes,25.91,Historical
2018Q2,LU,SPITEX (soins à domicile),20.64,Historical
2018Q2,LU,Total,683.53,Historical
2018Q2,NE,Autres,45.44,Historical
2018Q2,NE,Etablissements médico-sociaux,80.01,Historical
2018Q2,NE,Hôpitaux (ambulatoire),185.17,Historical
2018Q2,NE,Hôpitaux (séjours),182.18,Historical
2018Q2,NE,Laboratoire cabinet médical,9.21,Historical
2018Q2,NE,Laboratoires,42.82,Historical
2018Q2,NE,Médecins (ambulatoire) sans laboratoire,199.68,Historical
2018Q2,NE,Médicaments (médecin),28.61,Historical
2018Q2,NE,Pharmacies,183.20,Historical
2018Q2,NE,Physiothérapeutes,26.50,Historical
2018Q2,NE,SPITEX (soins à domicile),35.16,Historical
2018Q2,NE,Total,1017.98,Historical
2018Q2,NW,Autres,29.64,Historical
2018Q2,NW,Etablissements médico-sociaux,46.13,Historical
2018Q2,NW,Hôpitaux (ambulatoire),132.37,Historical
2018Q2,NW,Hôpitaux (séjours),152.37,Historical
2018Q2,NW,Laboratoire cabinet médical,15.78,Historical
2018Q2,NW,Laboratoires,21.76,Historical
2018Q2,NW,Médecins (ambulatoire) sans laboratoire,152.40,Historical
2018Q2,NW,Médicaments (médecin),96.68,Historical
2018Q2,NW,Pharmacies,37.60,Historical
2018Q2,NW,Physiothérapeutes,24.69,Historical
2018Q2,NW,SPITEX (soins à domicile),18.43,Historical
2018Q2,NW,Total,727.86,Historical
2018Q2,OW,Autres,27.87,Historical
2018Q2,OW,Etablissements médico-sociaux,42.77,Historical
2018Q2,OW,Hôpitaux (ambulatoire),155.95,Historical
2018Q2,OW,Hôpitaux (séjours),144.48,Historical
2018Q2,OW,Laboratoire cabinet médical,18.10,Historical
2018Q2,OW,Laboratoires,22.05,Historical
2018Q2,OW,Médecins (ambulatoire) sans laboratoire,146.99,Historical
2018Q2,OW,Médicaments (médecin),108.48,Historical
2018Q2,OW,Pharmacies,31.03,Historical
2018Q2,OW,Physiothérapeutes,28.01,Historical
2018Q2,OW,SPITEX (soins à domicile),17.70,Historical
2018Q2,OW,Total,743.42,Historical
2018Q2,SG,Autres,28.15,Historical
2018Q2,SG,Etablissements médico-sociaux,43.95,Historical
2018Q2,SG,Hôpitaux (ambulatoire),117.00,Historical
2018Q2,SG,Hôpitaux (séjours),181.62,Historical
2018Q2,SG,Laboratoire cabinet médical,17.84,Historical
2018Q2,SG,Laboratoires,20.08,Historical
2018Q2,SG,Médecins (ambulatoire) sans laboratoire,182.04,Historical
2018Q2,SG,Médicaments (médecin),108.22,Historical
2018Q2,SG,Pharmacies,41.37,Historical
2018Q2,SG,Physiothérapeutes,29.15,Historical
2018Q2,SG,SPITEX (soins à domicile),18.45,Historical
2018Q2,SG,Total,787.87,Historical
2018Q2,SH,Autres,30.08,Historical
2018Q2,SH,Etablissements médico-sociaux,58.41,Historical
2018Q2,SH,Hôpitaux (ambulatoire),126.75,Historical
2018Q2,SH,Hôpitaux (séjours),198.57,Historical
2018Q2,SH,Laboratoire cabinet médical,17.86,Historical
2018Q2,SH,Laboratoires,18.68,Historical
2018Q2,SH,Médecins (ambulatoire) sans laboratoire,171.90,Historical
2018Q2,SH,Médicaments (médecin),74.44,Historical
2018Q2,SH,Pharmacies,110.62,Historical
2018Q2,SH,Physiothérapeutes,34.30,Historical
2018Q2,SH,SPITEX (soins à domicile),24.58,Historical
2018Q2,SH,Total,866.18,Historical
2018Q2,SO,Autres,31.45,Historical
2018Q2,SO,Etablissements médico-sociaux,45.98,Historical
2018Q2,SO,Hôpitaux (ambulatoire),209.12,Historical
2018Q2,SO,Hôpitaux (séjours),197.75,Historical
2018Q2,SO,Laboratoire cabinet médical,18.70,Historical
2018Q2,SO,Laboratoires,23.99,Historical
2018Q2,SO,Médecins (ambulatoire) sans laboratoire,187.97,Historical
2018Q2,SO,Médicaments (médecin),93.48,Historical
2018Q2,SO,Pharmacies,81.24,Historical
2018Q2,SO,Physiothérapeutes,28.58,Historical
2018Q2,SO,SPITEX (soins à domicile),25.56,Historical
2018Q2,SO,Total,943.83,Historical
2018Q2,SZ,Autres,28.77,Historical
2018Q2,SZ,Etablissements médico-sociaux,41.41,Historical
2018Q2,SZ,Hôpitaux (ambulatoire),122.87,Historical
2018Q2,SZ,Hôpitaux (séjours),166.74,Historical
2018Q2,SZ,Laboratoire cabinet médical,24.10,Historical
2018Q2,SZ,Laboratoires,25.96,Historical
2018Q2,SZ,Médecins (ambulatoire) sans laboratoire,203.28,Historical
2018Q2,SZ,Médicaments (médecin),113.84,Historical
2018Q2,SZ,Pharmacies,36.48,Historical
2018Q2,SZ,Physiothérapeutes,27.79,Historical
2018Q2,SZ,SPITEX (soins à domicile),14.96,Historical
2018Q2,SZ,Total,806.20,Historical
2018Q2,TG,Autres,26.42,Historical
2018Q2,TG,Etablissements médico-sociaux,43.84,Historical
2018Q2,TG,Hôpitaux (ambulatoire),169.51,Historical
2018Q2,TG,Hôpitaux (séjours),185.81,Historical
2018Q2,TG,Laboratoire cabinet médical,16.35,Historical
2018Q2,TG,Laboratoires,18.79,Historical
2018Q2,TG,Médecins (ambulatoire) sans laboratoire,162.16,Historical
2018Q2,TG,Médicaments (médecin),90.94,Historical
2018Q2,TG,Pharmacies,48.27,Historical
2018Q2,TG,Physiothérapeutes,32.19,Historical
2018Q2,TG,SPITEX (soins à domicile),21.46,Historical
2018Q2,TG,Total,815.73,Historical
2018Q2,TI,Autres,42.69,Historical
2018Q2,TI,Etablissements médico-sociaux,75.86,Historical
2018Q2,TI,Hôpitaux (ambulatoire),197.63,Historical
2018Q2,TI,Hôpitaux (séjours),200.64,Historical
2018Q2,TI,Laboratoire cabinet médical,22.59,Historical
2018Q2,TI,Laboratoires,37.35,Historical
2018Q2,TI,Médecins (ambulatoire) sans laboratoire,256.16,Historical
2018Q2,TI,Médicaments (médecin),21.23,Historical
2018Q2,TI,Pharmacies,189.64,Historical
2018Q2,TI,Physiothérapeutes,41.90,Historical
2018Q2,TI,SPITEX (soins à domicile),42.99,Historical
2018Q2,TI,Total,1128.66,Historical
2018Q2,UR,Autres,24.15,Historical
2018Q2,UR,Etablissements médico-sociaux,52.57,Historical
2018Q2,UR,Hôpitaux (ambulatoire),158.23,Historical
2018Q2,UR,Hôpitaux (séjours),195.79,Historical
2018Q2,UR,Laboratoire cabinet médical,17.19,Historical
2018Q2,UR,Laboratoires,13.97,Historical
2018Q2,UR,Médecins (ambulatoire) sans laboratoire,126.03,Historical
2018Q2,UR,Médicaments (médecin),90.74,Historical
2018Q2,UR,Pharmacies,20.54,Historical
2018Q2,UR,Physiothérapeutes,19.08,Historical
2018Q2,UR,SPITEX (soins à domicile),14.45,Historical
2018Q2,UR,Total,732.72,Historical
2018Q2,VD,Autres,36.74,Historical
2018Q2,VD,Etablissements médico-sociaux,59.57,Historical
2018Q2,VD,Hôpitaux (ambulatoire),244.77,Historical
2018Q2,VD,Hôpitaux (séjours),164.99,Historical
2018Q2,VD,Laboratoire cabinet médical,13.04,Historical
2018Q2,VD,Laboratoires,31.85,Historical
2018Q2,VD,Médecins (ambulatoire) sans laboratoire,233.35,Historical
2018Q2,VD,Médicaments (médecin),14.70,Historical
2018Q2,VD,Pharmacies,171.14,Historical
2018Q2,VD,Physiothérapeutes,30.18,Historical
2018Q2,VD,SPITEX (soins à domicile),40.33,Historical
2018Q2,VD,Total,1040.65,Historical
2018Q2,VS,Autres,35.30,Historical
2018Q2,VS,Etablissements médico-sociaux,56.26,Historical
2018Q2,VS,Hôpitaux (ambulatoire),147.33,Historical
2018Q2,VS,Hôpitaux (séjours),178.97,Historical
2018Q2,VS,Laboratoire cabinet médical,16.07,Historical
2018Q2,VS,Laboratoires,22.72,Historical
2018Q2,VS,Médecins (ambulatoire) sans laboratoire,189.88,Historical
2018Q2,VS,Médicaments (médecin),19.43,Historical
2018Q2,VS,Pharmacies,161.51,Historical
2018Q2,VS,Physiothérapeutes,28.24,Historical
2018Q2,VS,SPITEX (soins à domicile),18.96,Historical
2018Q2,VS,Total,874.67,Historical
2018Q2,ZG,Autres,20.97,Historical
2018Q2,ZG,Etablissements médico-sociaux,38.81,Historical
2018Q2,ZG,Hôpitaux (ambulatoire),116.03,Historical
2018Q2,ZG,Hôpitaux (séjours),139.37,Historical
2018Q2,ZG,Laboratoire cabinet médical,17.13,Historical
2018Q2,ZG,Laboratoires,31.16,Historical
2018Q2,ZG,Médecins (ambulatoire) sans laboratoire,195.15,Historical
2018Q2,ZG,Médicaments (médecin),86.12,Historical
2018Q2,ZG,Pharmacies,57.38,Historical
2018Q2,ZG,Physiothérapeutes,28.34,Historical
2018Q2,ZG,SPITEX (soins à domicile),13.29,Historical
2018Q2,ZG,Total,743.76,Historical
2018Q2,ZH,Autres,28.37,Historical
2018Q2,ZH,Etablissements médico-sociaux,43.75,Historical
2018Q2,ZH,Hôpitaux (ambulatoire),157.38,Historical
2018Q2,ZH,Hôpitaux (séjours),166.13,Historical
2018Q2,ZH,Laboratoire cabinet médical,18.94,Historical
2018Q2,ZH,Laboratoires,27.20,Historical
2018Q2,ZH,Médecins (ambulatoire) sans laboratoire,240.99,Historical
2018Q2,ZH,Médicaments (médecin),83.22,Historical
2018Q2,ZH,Pharmacies,89.00,Historical
2018Q2,ZH,Physiothérapeutes,31.57,Historical
2018Q2,ZH,SPITEX (soins à domicile),21.84,Historical
2018Q2,ZH,Total,908.40,Historical
2018Q3,AG,Autres,28.95,Historical
2018Q3,AG,Etablissements médico-sociaux,39.31,Historical
2018Q3,AG,Hôpitaux (ambulatoire),184.88,Historical
2018Q3,AG,Hôpitaux (séjours),174.69,Historical
2018Q3,AG,Laboratoire cabinet médical,15.78,Historical
2018Q3,AG,Laboratoires,20.43,Historical
2018Q3,AG,Médecins (ambulatoire) sans laboratoire,167.94,Historical
2018Q3,AG,Médicaments (médecin),29.53,Historical
2018Q3,AG,Pharmacies,135.84,Historical
2018Q3,AG,Physiothérapeutes,27.48,Historical
2018Q3,AG,SPITEX (soins à domicile),19.58,Historical
2018Q3,AG,Total,844.40,Historical
